Adı,Doğum Tarihi,Pozisyon,Son Takımı,Maç Sayısı,Gol Sayısı,Sarı Kart,Kırmızı Kart
Michel,1963,O,Celaya,516,127,1,
Arouna Kone,1983,F,Sivasspor,447,127,1,
Teddy Sheringham,1966,F,West Ham United,393,127,1,
Gus Poyet,1967,O,Tottenham,473,127,7,
Dwight Yorke,1971,F,Sunderland,383,127,1,
Jan Koller,1973,F,Cannes,347,127,2,
Emrah Bozkurt,1980,F,Etimesgut Belediyespor,396,127,4,
David Rodriguez,1986,F,Rayo Majadahonda,419,126,0,
Paul Breitner,1951,D,Bayern Münih,468,126,0,
Sergio Ramos,1986,D,PSG,910,126,28,
Ricardo Horta,1994,F,Sporting Braga,441,126,1,
Julio Tavares,1988,F,Al Raed,391,126,1,
Herbert Laumen,1943,F,Metz,270,126,0,
Shaun Jeffers,1992,F,St. Albans City,329,126,1,
Deni Alar,1990,F,First Vienna,389,126,1,
Ben Nabouhane,1989,F,Kızılyıldız,374,126,3,
Nicklas Bendtner,1988,F,FC Copenhagen,429,126,1,
Roy O'Donovan,1985,F,Sydney Olympic,293,126,5,
Ruben Sosa,1966,F,UD Logrones,381,126,4,
Humberto Suazo,1981,F,San Luis De Quillota,326,126,1,
Pietro Ferraris,1912,F,Novara,470,126,1,
Paul Breitner,1951,D,Bayern Münih,468,126,0,
Sergio Ramos,1986,D,PSG,910,126,28,
Henok Goitom,1984,F,AIK,451,125,1,
Lars Stindl,1988,O,Karlsruher SC,499,125,2,
Marco Ruben,1986,F,Rosario Central,398,125,4,
Sascha Mölders,1985,F,1860 München,373,125,0,
Alican Tez,1987,F,Nevşehir Belediyespor,366,125,10,
Giuseppe Rossi,1987,F,SPAL,370,125,0,
Bernd Schuster,1959,O,Pumas UNAM,511,125,8,
Marvin Ducksch,1994,F,Werder Bremen,290,125,0,
Edwin Aguilar,1985,F,Costa del Este,246,125,2,
Antun Maglica,1991,F,APOEL Nicosia,369,125,3,
Miller Bolanos,1990,F,Emelec,345,125,6,
Herrerita,1914,F,Sporting Gijon,230,125,1,
Bernd Rupp,1942,F,Mönchengladbach,296,125,0,
Max Gradel,1987,F,Sivasspor,499,125,5,
Nene,1983,F,AVS,416,125,4,
Lars Stindl,1988,O,Karlsruher SC,499,125,2,
Marco Ruben,1986,F,Rosario Central,398,125,4,
Sascha Mölders,1985,F,1860 München,373,125,0,
Alican Tez,1987,F,Nevşehir Belediyespor,366,125,10,
Giuseppe Rossi,1987,F,SPAL,370,125,0,
Bernd Schuster,1959,O,Pumas UNAM,511,125,8,
Yusuf Tokuş,1971,F,Sivasspor,267,124,2,
Edgar Silva,1987,F,Daegu,335,124,4,
Robert Vittek,1982,F,Slovan Bratislava,382,124,3,
Uwe Rahn,1962,F,Eintracht Frankfurt,354,124,1,
Matheus,1983,F,Itabaiana,426,124,2,
Ivan Alonso,1979,F,River Plate,363,124,3,
Brian Graham,1987,F,Partick Thistle,353,124,4,
Mijo Caktas,1992,O,Osijek,342,124,4,
Fabian Klos,1987,F,Arminia Bielefeld,341,124,4,
Les Ferdinand,1966,F,Bolton Wanderers,280,124,2,
Hans Walitza,1945,F,Nürnberg,226,124,0,
Epi,1919,F,Real Sociedad,334,124,0,
Salahattin Almay,1910,F,İstanbulspor,189,124,0,
Nestor Camacho,1987,O,Club Guarani,420,124,5,
Sofiane Hanni,1990,F,Al Ahli,425,124,2,
Zlatko Kranjcar,1956,F,St. Pölten,259,124,1,
Sinan Turhan,1958,F,Silifkespor,425,124,1,
Kemal Yıldırım,1958,F,Gebzespor,596,124,3,
Hasan Vezir,1962,F,Bağcılar Spor Kulübü,396,124,1,
İlyas Çakmak,1988,F,Viven Bornova,380,124,1,
Chris Porter,1983,F,Oldham Athletic,433,124,0,
Edgar Silva,1987,F,Daegu,335,124,4,
Robert Vittek,1982,F,Slovan Bratislava,382,124,3,
Uwe Rahn,1962,F,Eintracht Frankfurt,354,124,1,
Matheus,1983,F,Itabaiana,426,124,2,
Ivan Alonso,1979,F,River Plate,363,124,3,
Ole Gunnar Solskjaer,1973,F,Manchester United,334,123,1,
Batuhan Er,1995,O,52 Orduspor FK,294,123,3,
Thomas von Heesen,1961,O,Arminia Bielefeld,444,123,0,
Senijad Ibricic,1985,O,Domzale,463,123,5,
Orhan Yüksel,1939,F,Adanaspor,438,123,0,
Sercan Görgülü,1960,F,Marmaris Gençlik,447,123,1,
Pizzi,1989,O,Sporting Braga,553,123,3,
Carlos Eduardo,1989,O,Botafogo,381,123,6,
Willian Jose,1991,F,Real Betis,451,123,6,
Tae-Hee Nam,1991,O,Al Duhail SC,389,123,0,
Edinho,1982,F,Torreense,375,123,3,
Aleksandr Kokorin,1991,F,Aris Limassol,399,123,4,
Stevan Jovetic,1989,F,Hertha Berlin,412,123,1,
Jeremain Lens,1987,O,Versailles,538,123,6,
Andreas Ogris,1964,F,Simmeringer SC,414,123,2,
Gino Pivatelli,1933,F,Milan,264,123,2,
Piru Gainza,1922,F,Athletic Bilbao,396,123,1,
Hansi Müller,1957,O,Wacker Innsbruck,438,123,6,
Daniel Sturridge,1989,F,Perth Glory,354,123,1,
Jadson,1983,O,Vitoria,524,123,2,
Edinho,1982,F,Torreense,375,123,3,
Aleksandr Kokorin,1991,F,Aris Limassol,399,123,4,
Stevan Jovetic,1989,F,Hertha Berlin,412,123,1,
Jeremain Lens,1987,O,Versailles,538,123,6,
Andreas Ogris,1964,F,Simmeringer SC,414,123,2,
Gino Pivatelli,1933,F,Milan,264,123,2,
Piru Gainza,1922,F,Athletic Bilbao,396,123,1,
Hansi Müller,1957,O,Wacker Innsbruck,438,123,6,
Daniel Sturridge,1989,F,Perth Glory,354,123,1,
Jadson,1983,O,Vitoria,524,123,2,
Hasan Özer,1974,F,Altay,426,122,1,
Adem Güven,1985,O,Kongsvinger,321,122,1,
Thiago Neves,1985,O,Sport Recife,438,122,1,
Ezequiel Lavezzi,1985,F,Hebei China Fortune,463,122,3,
Tamas Priskin,1986,F,Györi ETO,401,122,4,
Michael Thurk,1976,O,Heidenheim,367,122,5,
Joao Tomas,1975,F,Rio Ave,312,122,1,
Robert Feczesin,1986,F,Budapest Vasas,341,122,0,
Burhan Eşer,1985,O,Isparta 32 Spor,583,122,1,
Kleber Giacomace,1983,F,Austin Bold,321,122,10,
Kemal Gülçelik,1923,F,Beşiktaş,129,122,1,
Anthony Nwakaeme,1989,F,Al Feiha,387,122,2,
Necmi Perekli,1948,F,Trabzonspor,287,122,1,
Claudio Bieler,1984,F,Atletico Rafaela,341,122,2,
Nicolai Jörgensen,1991,F,FC Copenhagen,374,122,3,
İbrahim Ülüm,1983,F,Şanlıurfa BB,304,122,5,
Morten Rasmussen,1985,F,Enosis Neon Paralimni,304,122,3,
Melvin Platje,1988,F,AFC Amsterdamsche,398,122,3,
Adem Güven,1985,O,Kongsvinger,321,122,1,
Thiago Neves,1985,O,Sport Recife,438,122,1,
Ezequiel Lavezzi,1985,F,Hebei China Fortune,463,122,3,
Tamas Priskin,1986,F,Györi ETO,401,122,4,
Michael Thurk,1976,O,Heidenheim,367,122,5,
Joao Tomas,1975,F,Rio Ave,312,122,1,
Robert Feczesin,1986,F,Budapest Vasas,341,122,0,
Burhan Eşer,1985,O,Isparta 32 Spor,583,122,1,
Kleber Giacomace,1983,F,Austin Bold,321,122,10,
Craig Bellamy,1979,F,Cardiff City U18,467,121,3,
Luis Garcia,1981,F,AS Eupen,591,121,3,
German Denis,1981,F,La Fiorita,418,121,3,
Philipp Hofmann,1993,F,Bochum,351,121,1,
Daniel Jurgeleit,1963,F,Holstein Kiel,420,121,1,
Tomas Wagner,1990,F,Pribram,357,121,0,
Wendie Renard,1990,D,Lyon (K),389,121,0,
Curtis Allen,1988,F,Carrick Rangers,270,121,3,
Willian,1986,F,Atletico Paranaense,569,121,2,
Ercan Kuruçay,1988,O,Karabük İdmanyurdu Spor,275,121,2,
Fethi Heper,1944,F,Eskişehirspor,299,121,1,
Kjartan Henry Finnbogason,1986,F,FH Hafnarfjordur,314,121,3,
Nikita Rukavytsya,1987,O,Maccabi Haifa,419,121,1,
Tjaronn Chery,1988,O,Maccabi Haifa,509,121,2,
Maksim Skavysh,1989,F,Shakhtyor Soligorsk,392,121,0,
Berat Sadik,1986,F,Doxa,374,121,1,
Yacine Brahimi,1990,O,Al Gharafa,495,121,4,
Felipe Caicedo,1988,F,Abha,481,121,1,
Shane Long,1987,F,Reading,618,121,2,
Marat Bikmoev,1986,F,Dinamo Samarqand,331,121,2,
Marco Bode,1969,F,Werder Bremen,452,121,0,
Luis Garcia,1981,F,AS Eupen,591,121,3,
German Denis,1981,F,La Fiorita,418,121,3,
Tjaronn Chery,1988,O,Maccabi Haifa,509,121,2,
Maksim Skavysh,1989,F,Shakhtyor Soligorsk,392,121,0,
Berat Sadik,1986,F,Doxa,374,121,1,
Yacine Brahimi,1990,O,Al Gharafa,495,121,4,
Felipe Caicedo,1988,F,Abha,481,121,1,
Shane Long,1987,F,Reading,618,121,2,
Marat Bikmoev,1986,F,Dinamo Samarqand,331,121,2,
Marco Bode,1969,F,Werder Bremen,452,121,0,
Luis Garcia,1981,F,AS Eupen,591,121,3,
German Denis,1981,F,La Fiorita,418,121,3,
Ivan Klasnic,1980,F,Mainz 05,414,120,3,
Raffael,1985,F,Pohronie,399,120,2,
Maxim Choupo-Moting,1989,F,Bayern Münih,464,120,0,
Steven Lennon,1988,O,FH Hafnarfjordur,254,120,2,
Mehmet Akyüz,1986,F,Sakaryaspor,430,120,1,
Kadir Söylemez,1981,F,Kıralan Demirspor,344,120,2,
Pedro Uralde,1958,F,Deportivo La Coruna,358,120,0,
Jürgen Grabowski,1944,F,Eintracht Frankfurt,489,120,0,
Heimo Pfeiffenberger,1966,F,Salzburg,401,120,6,
Walter Pandiani,1976,F,Lausanne Sports,425,120,5,
Nazmi Bilge,1934,F,Altay,240,120,1,
Manuel Schaffler,1989,F,Dynamo Dresden,432,120,2,
Anselmo Ramon,1988,F,CRB,355,120,12,
Erdal Keser,1961,F,Galatasaray,395,120,6,
Fotios Papoulis,1985,F,Omonia Nicosia,405,120,1,
Mario Götze,1992,O,Eintracht Frankfurt,520,120,1,
Raul Rusescu,1988,F,Concordia Chiajna,383,120,2,
Federico Dionisi,1987,F,Ascoli,399,120,4,
Oscar,1991,O,Shanghai Port,508,120,1,
Alexander Gerndt,1986,F,Thun,405,120,3,
Abiola Dauda,1988,F,Mohammedan,375,120,1,
Raffael,1985,F,Pohronie,399,120,2,
Maxim Choupo-Moting,1989,F,Bayern Münih,464,120,0,
Steven Lennon,1988,O,FH Hafnarfjordur,254,120,2,
Mehmet Akyüz,1986,F,Sakaryaspor,430,120,1,
Kadir Söylemez,1981,F,Kıralan Demirspor,344,120,2,
Pedro Uralde,1958,F,Deportivo La Coruna,358,120,0,
Jürgen Grabowski,1944,F,Eintracht Frankfurt,489,120,0,
Heimo Pfeiffenberger,1966,F,Salzburg,401,120,6,
Walter Pandiani,1976,F,Lausanne Sports,425,120,5,
Steven Lennon,1988,O,FH Hafnarfjordur,254,120,2,
Mehmet Akyüz,1986,F,Sakaryaspor,430,120,1,
Kadir Söylemez,1981,F,Kıralan Demirspor,344,120,2,
Pedro Uralde,1958,F,Deportivo La Coruna,358,120,0,
Jürgen Grabowski,1944,F,Eintracht Frankfurt,489,120,0,
Heimo Pfeiffenberger,1966,F,Salzburg,401,120,6,
Walter Pandiani,1976,F,Lausanne Sports,425,120,5,
Souleymane Youla,1981,F,Indy Eleven,376,119,4,
Mikhail Gordeychuk,1989,F,Dinamo Brest,360,119,0,
Liviu Antal,1989,O,Zalgiris Vilnius,399,119,2,
Abdullah Avcı,1963,F,Küçükçekmecespor,301,119,2,
Teddy Chevalier,1987,F,Boussu Dour Borinage,426,119,1,
Thomas Lehne Olsen,1991,F,Lilleström,265,119,0,
Marouane Fellaini,1987,O,Shandong Taishan,559,119,6,
Bruno Mezenga,1988,F,Santos,401,119,1,
Emrah Bedir,1988,F,Anamur Belediyespor,395,119,4,
Maranon,1948,F,Sabadell,323,119,0,
Julio Baptista,1981,F,CFR Cluj,385,119,2,
Eidur Gudjohnsen,1978,F,Molde,553,119,2,
Ailton,1973,F,Uerdingen,260,119,3,
Sanel Ibrahimovic,1987,F,Wiltz,213,119,0,
Hector Puricelli,1916,F,Milan,211,119,4,
Uros Djurdjevic,1994,F,Sporting Gijon,343,119,3,
Laszlo Lencse,1988,F,Szombathelyi Haladas,315,119,1,
Rauno Alliku,1990,F,FC Flora Tallinn,353,119,0,
Viktor Claesson,1992,O,FC Copenhagen,454,119,0,
Yohei Toyoda,1985,F,Zweigen Kanazawa,366,119,0,
Christoffer Nyman,1992,F,Norrköping,364,119,0,
Mikhail Gordeychuk,1989,F,Dinamo Brest,360,119,0,
Liviu Antal,1989,O,Zalgiris Vilnius,399,119,2,
Abdullah Avcı,1963,F,Küçükçekmecespor,301,119,2,
Teddy Chevalier,1987,F,Boussu Dour Borinage,426,119,1,
Thomas Lehne Olsen,1991,F,Lilleström,265,119,0,
Marouane Fellaini,1987,O,Shandong Taishan,559,119,6,
Bruno Mezenga,1988,F,Santos,401,119,1,
Emrah Bedir,1988,F,Anamur Belediyespor,395,119,4,
Maranon,1948,F,Sabadell,323,119,0,
Julio Baptista,1981,F,CFR Cluj,385,119,2,
Eidur Gudjohnsen,1978,F,Molde,553,119,2,
Ailton,1973,F,Uerdingen,260,119,3,
Mehmet Yıldız,1981,F,MKE Ankaragücü,391,118,3,
Andreas Albers,1990,F,St. Pauli,332,118,1,
Paul Mccallum,1993,F,Eastleigh,294,118,3,
Davy Klaassen,1993,O,Ajax,464,118,0,
Omar Er Rafik,1986,F,Jeunesse Esch,157,118,1,
Pietro Virdis,1957,F,Lecce,392,118,3,
Kayhan Kaynak,1960,F,Adana Demirspor,362,118,3,
Nikola Djurdjic,1986,F,Degerfors,341,118,3,
Everton Da Silva,1983,F,Pedras Rubras,379,118,3,
Duje Cop,1990,F,Sibenik,404,118,2,
Bryan Ruiz,1985,O,Alajuelense,596,118,1,
Adam Nemec,1985,F,Voluntari,481,118,2,
Marko Devic,1983,F,Vozdovac,291,118,4,
Jakub Reznicek,1988,F,Zbrojovka Brno,352,118,1,
Mesut Özil,1988,O,Başakşehir FK,681,118,3,
Ivan Rakitic,1988,O,Sevilla,835,118,4,
Olaf Marschall,1966,F,Kaiserslautern,340,118,0,
Nikola Zigic,1980,F,Birmingham,321,118,5,
Ricardo Quaresma,1983,O,Vitoria Guimaraes,729,118,14,
Cacau,1981,F,Stuttgart II,411,118,1,
Mesut Özil,1988,O,Başakşehir FK,681,118,3,
Ivan Rakitic,1988,O,Sevilla,835,118,4,
Olaf Marschall,1966,F,Kaiserslautern,340,118,0,
Nikola Zigic,1980,F,Birmingham,321,118,5,
Ricardo Quaresma,1983,O,Vitoria Guimaraes,729,118,14,
Cacau,1981,F,Stuttgart II,411,118,1,
Mehmet Şen,1982,F,Bozdoğan Belediyespor,422,117,2,
Siem de Jong,1989,O,De Graafschap,437,117,1,
Jose Callejon,1987,F,Granada,631,117,2,
Dario Cvitanich,1984,F,Banfield,363,117,3,
Ari,1985,F,Atletico Cearense,394,117,4,
Benjamin Auer,1981,F,Pirmasens,377,117,1,
Pietro Anastasi,1948,F,Lugano,382,117,1,
Sebastian Abreu,1976,F,Sud America,317,117,1,
Johan Elmander,1981,F,Örgryte,479,117,4,
Cristiano Lucarelli,1975,F,Napoli,335,117,7,
Mehmet Scholl,1970,O,Bayern Münih,488,117,2,
Georgios Samaras,1985,F,Samsunspor,502,117,1,
David Beckham,1975,O,PSG,661,117,5,
Harry Kewell,1978,F,Melbourne City,470,117,3,
Josip Drmic,1992,F,Dinamo Zagreb,384,117,2,
Gustavo Bou,1990,F,New England Revolution,313,117,0,
Eduardo Salvio,1990,O,Pumas UNAM,496,117,0,
Joe Garner,1988,F,Carlisle United,422,117,4,
Jonathan Cristaldo,1989,F,Oriente Petrolero,407,117,11,
Sam Vokes,1989,F,Wycombe Wanderers,552,117,0,
Matthias Vilhjalmsson,1987,F,Vikingur R.,356,117,0,
Siem de Jong,1989,O,De Graafschap,437,117,1,
Jose Callejon,1987,F,Granada,631,117,2,
Dario Cvitanich,1984,F,Banfield,363,117,3,
Ari,1985,F,Atletico Cearense,394,117,4,
Benjamin Auer,1981,F,Pirmasens,377,117,1,
Pietro Anastasi,1948,F,Lugano,382,117,1,
Sebastian Abreu,1976,F,Sud America,317,117,1,
Johan Elmander,1981,F,Örgryte,479,117,4,
Cristiano Lucarelli,1975,F,Napoli,335,117,7,
Mehmet Scholl,1970,O,Bayern Münih,488,117,2,
Georgios Samaras,1985,F,Samsunspor,502,117,1,
David Beckham,1975,O,PSG,661,117,5,
Harry Kewell,1978,F,Melbourne City,470,117,3,
Cristiano Lucarelli,1975,F,Napoli,335,117,7,
Mehmet Scholl,1970,O,Bayern Münih,488,117,2,
Georgios Samaras,1985,F,Samsunspor,502,117,1,
David Beckham,1975,O,PSG,661,117,5,
Harry Kewell,1978,F,Melbourne City,470,117,3,
Krassimir Balakov,1966,O,Stuttgart,478,116,3,
Richmond Boakye,1993,F,Selangor FA,366,116,2,
Diego Valeri,1986,O,Lanus,440,116,3,
Rene Gartler,1985,F,St. Pölten,318,116,3,
Lukas Jutkiewicz,1989,F,Birmingham,530,116,0,
Timur Kosovalı,1990,F,Belediye Kütahyaspor,334,116,4,
Kemal Akbaba,1988,F,Ayvalıkgücü Belediyespor,309,116,2,
Christian Bolanos,1984,O,Deportivo Saprissa,533,116,4,
James Vaughan,1988,F,Tranmere Rovers,393,116,5,
Pierino Prati,1946,F,Fiorentina,267,116,0,
Michel Platini,1955,O,Nancy,233,116,0,
Jonathan Stead,1983,F,Harrogate Town,525,116,3,
Emanuel Villa,1982,F,Queretaro,288,116,2,
Christian Mayrleb,1972,F,SK Austria Karnten,323,116,4,
Bartholomew Ogbeche,1984,F,Hyderabad FC,348,116,2,
Florian Thauvin,1993,O,Udinese,430,116,5,
Tolga Kara,1990,F,Hendek Spor,260,116,1,
Jose Garate,1944,F,Atletico Madrid,272,116,1,
Lucas Moura,1992,O,Sao Paulo,558,116,2,
Nacer Chadli,1989,O,Westerlo,507,116,0,
Cevdet Çapar,1964,F,Manisaspor,309,116,3,
Richmond Boakye,1993,F,Selangor FA,366,116,2,
Diego Valeri,1986,O,Lanus,440,116,3,
Rene Gartler,1985,F,St. Pölten,318,116,3,
Lukas Jutkiewicz,1989,F,Birmingham,530,116,0,
Timur Kosovalı,1990,F,Belediye Kütahyaspor,334,116,4,
Kemal Akbaba,1988,F,Ayvalıkgücü Belediyespor,309,116,2,
Christian Bolanos,1984,O,Deportivo Saprissa,533,116,4,
James Vaughan,1988,F,Tranmere Rovers,393,116,5,
Pierino Prati,1946,F,Fiorentina,267,116,0,
Michel Platini,1955,O,Nancy,233,116,0,
Jonathan Stead,1983,F,Harrogate Town,525,116,3,
Emanuel Villa,1982,F,Queretaro,288,116,2,
Christian Mayrleb,1972,F,SK Austria Karnten,323,116,4,
Bartholomew Ogbeche,1984,F,Hyderabad FC,348,116,2,
Emanuel Villa,1982,F,Queretaro,288,116,2,
Christian Mayrleb,1972,F,SK Austria Karnten,323,116,4,
Bartholomew Ogbeche,1984,F,Hyderabad FC,348,116,2,
Sergej Barbarez,1971,F,Bayer Leverkusen,407,115,8,
Jordan White,1992,O,Ross County,412,115,0,
Jose Angel Ziganda,1966,F,Osasuna,391,115,1,
Marcus Antonsson,1991,F,IFK Varnamo,340,115,0,
Sebastian Soria,1983,F,Qatar SC,306,115,4,
Juan Martin,1982,F,Juventud Unida Gualeguaychu,306,115,2,
Leo Ulloa,1986,F,Rayo Vallecano,346,115,5,
Erdoğan Yılmaz,1965,F,Çaykur Rizespor,319,115,1,
Kieza,1986,F,Brasiliense,374,115,1,
Matias Suarez,1988,F,River Plate,427,115,2,
Ronnie Schwartz,1989,F,Vendsyssel FF,305,115,2,
Cameron Jerome,1986,F,Bolton Wanderers,540,115,2,
Roman Wallner,1982,F,SV Grödig,342,115,3,
Tibor Nyilasi,1955,O,Austria Wien,184,115,1,
Aydın Çetin,1980,F,Çilimli Belediyespor,511,115,1,
Asensi,1949,D,Puebla,449,115,0,
Marko Pantelic,1978,F,Olympiakos,256,115,0,
Marcus Antonsson,1991,F,IFK Varnamo,340,115,0,
Sebastian Soria,1983,F,Qatar SC,306,115,4,
Juan Martin,1982,F,Juventud Unida Gualeguaychu,306,115,2,
Leo Ulloa,1986,F,Rayo Vallecano,346,115,5,
Erdoğan Yılmaz,1965,F,Çaykur Rizespor,319,115,1,
Kieza,1986,F,Brasiliense,374,115,1,
Matias Suarez,1988,F,River Plate,427,115,2,
Ronnie Schwartz,1989,F,Vendsyssel FF,305,115,2,
Cameron Jerome,1986,F,Bolton Wanderers,540,115,2,
Roman Wallner,1982,F,SV Grödig,342,115,3,
Tibor Nyilasi,1955,O,Austria Wien,184,115,1,
Aydın Çetin,1980,F,Çilimli Belediyespor,511,115,1,
Asensi,1949,D,Puebla,449,115,0,
Marko Pantelic,1978,F,Olympiakos,256,115,0,
Tommaso Rocchi,1977,F,Szombathelyi Haladas,391,114,1,
Carlo Galli,1931,F,Lazio,314,114,3,
Michael Laudrup,1964,O,Ajax,514,114,0,
Klaus Toppmöller,1951,F,Salmrohr,245,114,1,
Kalu Uche,1982,F,CD Aguilas,349,114,3,
Xavi,1980,O,Al Sadd,917,114,2,
Ibba Laajab,1985,F,Lyn Oslo,260,114,1,
Juncosa,1922,F,Atletico Madrid,232,114,2,
Marcus Marin,1966,F,Holstein Kiel,298,114,2,
Arteche,1930,F,Athletic Bilbao,280,114,1,
Jonathan Kodjia,1989,F,Umm Salal,308,114,3,
Bünyamin Kılınç,1984,F,Konya Ereğlispor,299,114,7,
Bruno Giordano,1956,F,Ascoli,330,114,1,
Ismael Sosa,1987,F,CD Everton,501,114,3,
David McGoldrick,1987,F,Notts County,435,114,0,
Angel Rodriguez,1987,F,Mallorca,415,114,2,
M'Billa Etame,1988,F,Ankaraspor,314,114,4,
Tomer Hemed,1987,F,Hapoel Beer Sheva,403,114,1,
Andreas Herzog,1968,O,Los Angeles Galaxy,510,114,3,
Lopez Ufarte,1958,F,Real Betis,439,114,1,
Peiro,1936,F,Malaga,212,114,1,
Carlo Galli,1931,F,Lazio,314,114,3,
Michael Laudrup,1964,O,Ajax,514,114,0,
Klaus Toppmöller,1951,F,Salmrohr,245,114,1,
Kalu Uche,1982,F,CD Aguilas,349,114,3,
Xavi,1980,O,Al Sadd,917,114,2,
Lopez Ufarte,1958,F,Real Betis,439,114,1,
Peiro,1936,F,Malaga,212,114,1,
Carlo Galli,1931,F,Lazio,314,114,3,
Michael Laudrup,1964,O,Ajax,514,114,0,
Klaus Toppmöller,1951,F,Salmrohr,245,114,1,
Kalu Uche,1982,F,CD Aguilas,349,114,3,
Xavi,1980,O,Al Sadd,917,114,2,
Taylan Eliaçık,1984,F,İdmanyurdu 1925 Spor,259,113,1,
Dudu,1992,O,Palmeiras,556,113,5,
Markus Pink,1991,F,Shanghai Port,312,113,0,
Mbaye Leye,1982,F,Royal Excel Mouscron,358,113,4,
Valentin Stocker,1989,O,Basel,502,113,4,
Mehmet Gürkan Öztürk,1989,F,Amed Sportif,446,113,4,
Ignacio Piatti,1985,O,Racing Club,370,113,2,
Zlatko Dedic,1984,F,Swarovski Tirol,414,113,0,
Riccardo Carapellese,1922,F,Genoa,317,113,1,
Angelo Schiavio,1905,F,Bologna,183,113,3,
Giovanni Ferrari,1907,O,Juventus,325,113,1,
Michael Liendl,1985,O,Grazer AK,483,113,1,
Aleksandre Iashvili,1977,F,Dinamo Tbilisi,604,113,0,
Takashi Usami,1992,O,Gamba Osaka,378,113,0,
Jürgen Wegmann,1964,F,Mainz 05,296,113,0,
Isaias,1963,F,Campomaiorense,324,113,4,
Eliran Atar,1987,F,Bnei Yehuda,315,113,1,
Michail Antonio,1990,F,West Ham United,442,113,2,
Camillo Ciano,1990,F,Benevento,411,113,2,
Şenol Birol,1937,F,Karşıyaka,275,113,3,
Stefanos Athanasiadis,1988,F,Anagennisi Karditsas,378,113,4,
Dudu,1992,O,Palmeiras,556,113,5,
Markus Pink,1991,F,Shanghai Port,312,113,0,
Mbaye Leye,1982,F,Royal Excel Mouscron,358,113,4,
Valentin Stocker,1989,O,Basel,502,113,4,
Mehmet Gürkan Öztürk,1989,F,Amed Sportif,446,113,4,
Ignacio Piatti,1985,O,Racing Club,370,113,2,
Zlatko Dedic,1984,F,Swarovski Tirol,414,113,0,
Riccardo Carapellese,1922,F,Genoa,317,113,1,
Angelo Schiavio,1905,F,Bologna,183,113,3,
Giovanni Ferrari,1907,O,Juventus,325,113,1,
Michael Liendl,1985,O,Grazer AK,483,113,1,
Aleksandre Iashvili,1977,F,Dinamo Tbilisi,604,113,0,
Veysel Cihan,1976,F,Boluspor,461,112,3,
Dario Lezcano,1990,F,Colo Colo,375,112,3,
Pichi Alonso,1953,F,Espanyol,285,112,0,
Liliu,1990,F,Altos,260,112,0,
Alan Pulido,1991,F,Sporting Kansas City,317,112,3,
Roman Prokoph,1985,F,Wuppertaler SV,291,112,2,
Diego Churin,1989,F,Cerro Porteno,383,112,3,
Muriqui,1986,O,Remo,279,112,0,
Sören Rieks,1987,O,Malmö FF,478,112,0,
Gary Twigg,1984,F,Coleraine FC,210,112,1,
Tomas Pekhart,1989,F,Legia Warszawa,400,112,3,
Tomas Necid,1989,F,Bohemians 1905,399,112,3,
Kevin Mirallas,1987,F,AEL Limassol,588,112,6,
Juan Arango,1980,O,NY Cosmos,502,112,1,
Fernando,1965,F,CD Castellon,446,112,1,
Suat Mamat,1930,O,Beşiktaş,410,112,0,
Nelson Valdez,1983,F,Cerro Porteno,525,112,4,
Yossi Benayoun,1980,O,Maccabi Petah Tikva,605,112,1,
Clarence Seedorf,1976,O,Botafogo,793,112,2,
Benjamin Lauth,1981,F,Ferencvaros,382,112,1,
Tomas Necid,1989,F,Bohemians 1905,399,112,3,
Kevin Mirallas,1987,F,AEL Limassol,588,112,6,
Juan Arango,1980,O,NY Cosmos,502,112,1,
Fernando,1965,F,CD Castellon,446,112,1,
Suat Mamat,1930,O,Beşiktaş,410,112,0,
Nelson Valdez,1983,F,Cerro Porteno,525,112,4,
Yossi Benayoun,1980,O,Maccabi Petah Tikva,605,112,1,
Clarence Seedorf,1976,O,Botafogo,793,112,2,
Benjamin Lauth,1981,F,Ferencvaros,382,112,1,
Gökhan Demir,1984,F,Hendek Spor,427,111,10,
İlhan Aslanoğlu,1988,F,Aliağa Futbol A.Ş.,370,111,3,
Brandao,1980,F,Levadiakos,336,111,2,
Nilmar,1984,F,Santos,303,111,2,
Peter Stöger,1966,O,Admira Wacker,527,111,3,
Coro,1983,F,Atletico Baleares,467,111,2,
Julen Guerrero,1974,O,Athletic Bilbao,398,111,1,
Nicola Amoruso,1974,F,Atalanta,402,111,1,
Thomas Buffel,1981,O,SV Zulte Waregem,557,111,2,
Juan Pablo Angel,1975,F,Atletico Nacional,345,111,0,
Yücel Çolak,1968,F,Gaziosmanpaşa,312,111,1,
Bibras Natcho,1988,O,FK Partizan,599,111,1,
Papu Gomez,1988,O,Sevilla,558,111,5,
Pablo Granoche,1983,F,Triestina,398,111,2,
Paulinho,1986,F,Sao Jose EC,259,111,2,
Maxime Lestienne,1992,F,Lion City Sailors FC,406,111,3,
Abdullah Halman,1987,F,Gaziantepgücü,391,111,3,
Willian,1988,O,Fulham,690,111,2,
David Nugent,1985,F,Tranmere Rovers,478,111,1,
Özgür Can Özcan,1988,F,Nevşehir Belediyespor,421,111,1,
Lasse Schöne,1986,O,NEC Nijmegen,606,111,1,
İlhan Aslanoğlu,1988,F,Aliağa Futbol A.Ş.,370,111,3,
